,Season,Team,Tournament,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jugador
0,2017/2018,Bayern Munich,GB,20(7),1824,1.2,0.3,0.8,-,0.4,0.5,-,-,7.28,Thomas Müller
1,2017/2018,Bayern Munich,UCL,7(2),644,1,0.3,1.6,-,0.3,0.4,-,-,7.02,Thomas Müller
2,2016/2017,Bayern Munich,GB,25(4),2265,0.5,0.7,0.7,0.1,0.3,0.6,0.2,-,7.30,Thomas Müller
3,2016/2017,Bayern Munich,UCL,5(4),463,0.6,0.3,0.4,0.1,0.3,0.3,0.1,-,6.72,Thomas Müller
4,2015/2016,Bayern Munich,GB,26(5),2345,0.8,0.5,0.8,-,0.5,0.6,-,-,7.50,Thomas Müller
5,2015/2016,Bayern Munich,UCL,9(3),926,0.7,0.4,0.8,-,0.1,1.1,0.2,-,7.19,Thomas Müller
6,2014/2015,Bayern Munich,GB,28(4),2374,0.7,0.4,0.9,-,0.2,0.8,0.1,-,7.27,Thomas Müller
7,2014/2015,Bayern Munich,UCL,10,778,0.9,0.5,1.1,-,0.7,1.6,0.1,-,7.59,Thomas Müller
8,2016,Germany,UEC,6,570,2.7,0.5,1.5,0.2,1.2,1.7,-,-,7.24,Thomas Müller
9,2013/2014,Bayern Munich,UCL,8(4),710,0.4,0.7,0.9,-,0.5,0.4,0.1,-,6.89,Thomas Müller
10,2013/2014,Bayern Munich,GB,25(6),2173,0.8,0.5,0.9,-,0.2,1.1,0.1,-,7.36,Thomas Müller
11,2014,Germany,WC,7,682,1,0.3,2,-,0.1,0.9,0.3,-,7.98,Thomas Müller
12,2012/2013,Bayern Munich,GB,25(3),2102,1.1,0.5,1.3,-,0.3,0.8,-,-,7.69,Thomas Müller
13,2012/2013,Bayern Munich,UCL,12(1),1047,1.6,1.1,1.3,-,0.5,0.5,-,-,7.53,Thomas Müller
14,2012,Germany,UEC,3(2),306,0.4,0.6,1.4,0.2,0.6,0.2,-,-,6.46,Thomas Müller
15,2011/2012,Bayern Munich,GB,33(1),2702,0.8,1,1.3,-,0.4,1.3,-,-,7.31,Thomas Müller
16,2011/2012,Bayern Munich,UCL,8(4),720,1.4,1.1,1.3,-,0.2,0.7,-,-,7.06,Thomas Müller
17,2010/2011,Bayern Munich,GB,32(2),2801,1.1,0.5,1,-,0.3,0.7,0.1,-,7.37,Thomas Müller
18,2010/2011,Bayern Munich,UCL,7(1),621,2.1,0.6,1.8,-,0.1,0.6,0.1,-,7.47,Thomas Müller
19,2009/2010,Bayern Munich,GB,29(5),2645,1.7,0.5,1.4,-,0.2,1,-,-,7.39,Thomas Müller
20,2009/2010,Bayern Munich,UCL,12,939,1.1,0.7,1.3,-,0.1,0.8,0.1,-,6.86,Thomas Müller
21,Total / Average,,,395,29637,1,0.6,1.1,0,0.3,0.8,0.1,0,7.32,Thomas Müller
0,2017/2018,Bayern Munich,GB,23(1),2033,2.3,2.2,0.7,0.3,2.3,0.5,0.4,-,7.31,Mats Hummels
1,2017/2018,Bayern Munich,UCL,7(1),589,1.9,1.1,1,0.9,2.6,0.8,0.3,-,7.11,Mats Hummels
2,2016/2017,Bayern Munich,GB,24(3),2181,2.1,2.1,0.6,0.6,2.5,0.4,0.3,-,7.32,Mats Hummels
3,2016/2017,Bayern Munich,UCL,7(2),681,1.2,1.7,0.7,0.4,3.2,0.7,0.4,-,7.02,Mats Hummels
4,2015/2016,Borussia Dort..,GB,29(1),2496,2,2.5,0.6,0.8,3.1,0.3,0.1,1,7.34,Mats Hummels
