,Season,Team,Tournament,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jugador
0,2017/2018,Bayern Munich,GB,20(7),1824,12,1.9,32,76.3,0.8,1.1,-,7.28,Thomas Müller
1,2017/2018,Bayern Munich,UCL,7(2),644,2,1.2,27.7,73.5,0.8,0.8,-,7.02,Thomas Müller
2,2016/2017,Bayern Munich,GB,25(4),2265,12,2.1,36.5,76,0.6,0.9,-,7.30,Thomas Müller
3,2016/2017,Bayern Munich,UCL,5(4),463,-,0.6,22.7,78.4,-,0.4,-,6.72,Thomas Müller
4,2015/2016,Bayern Munich,GB,26(5),2345,5,1.9,34.1,77,0.2,0.9,-,7.50,Thomas Müller
5,2015/2016,Bayern Munich,UCL,9(3),926,2,1.6,31.2,81.8,0.6,0.5,0.1,7.19,Thomas Müller
6,2014/2015,Bayern Munich,GB,28(4),2374,10,1.3,30.4,72.4,0.4,0.6,0.1,7.27,Thomas Müller
7,2014/2015,Bayern Munich,UCL,10,778,3,1.9,30.6,74.5,0.5,0.3,-,7.59,Thomas Müller
8,2016,Germany,UEC,6,570,1,1.7,40.3,76.4,-,1.5,-,7.24,Thomas Müller
9,2013/2014,Bayern Munich,UCL,8(4),710,1,1.3,27.7,83.4,0.4,0.6,0.1,6.89,Thomas Müller
10,2013/2014,Bayern Munich,GB,25(6),2173,10,2,32.4,78.6,0.6,0.8,0.1,7.36,Thomas Müller
11,2014,Germany,WC,7,682,3,2.3,37.1,75.4,0.6,0.6,-,7.98,Thomas Müller
12,2012/2013,Bayern Munich,GB,25(3),2102,11,2,30.8,77.7,1.1,0.6,0.1,7.69,Thomas Müller
13,2012/2013,Bayern Munich,UCL,12(1),1047,2,1.2,31.2,72.6,0.2,0.8,0.2,7.53,Thomas Müller
14,2012,Germany,UEC,3(2),306,-,0.8,23.8,80.7,0.6,0.4,-,6.46,Thomas Müller
15,2011/2012,Bayern Munich,GB,33(1),2702,7,1.8,34.5,78.8,0.8,0.9,0.2,7.31,Thomas Müller
16,2011/2012,Bayern Munich,UCL,8(4),720,1,2.3,28.4,79.8,0.2,0.8,0.4,7.06,Thomas Müller
17,2010/2011,Bayern Munich,GB,32(2),2801,11,1.6,29,76.4,0.5,1.4,0.2,7.37,Thomas Müller
18,2010/2011,Bayern Munich,UCL,7(1),621,2,2.5,36,79.5,0.4,0.8,0.1,7.47,Thomas Müller
19,2009/2010,Bayern Munich,GB,29(5),2645,6,1.7,28.5,77,0.5,1,0.1,7.39,Thomas Müller
20,2009/2010,Bayern Munich,UCL,12,939,2,1.6,26.2,77.7,0.2,0.6,0.2,6.86,Thomas Müller
21,Total / Average,,,395,29637,103,1.7,31.3,77,0.5,0.8,0.1,7.32,Thomas Müller
0,2017/2018,Bayern Munich,GB,23(1),2033,1,0.3,77.4,87.5,0.1,6.1,-,7.31,Mats Hummels
1,2017/2018,Bayern Munich,UCL,7(1),589,-,0.3,58.3,85,-,3.3,-,7.11,Mats Hummels
2,2016/2017,Bayern Munich,GB,24(3),2181,1,0.4,76.9,88.8,0.1,2.8,-,7.32,Mats Hummels
3,2016/2017,Bayern Munich,UCL,7(2),681,-,0.3,65,89.1,-,3.4,0.1,7.02,Mats Hummels
4,2015/2016,Borussia Dort..,GB,29(1),2496,2,0.2,78.9,86.4,0.1,4.3,-,7.34,Mats Hummels
5,2015/2016,Borussia Dort..,UEL,10,829,1,0.6,89.3,89,0.1,5.5,0.2,7.45,Mats Hummels
6,2014/2015,Borussia Dort..,GB,23(1),2032,-,0.4,59,77.3,-,5.1,-,7.60,Mats Hummels
7,2014/2015,Borussia Dort..,UCL,3(1),257,-,0.3,33.3,79.7,-,5.8,-,6.81,Mats Hummels
8,2016,Germany,UEC,4,390,-,0.3,84.5,90.5,-,5,0.5,7.32,Mats Hummels
9,2013/2014,Borussia Dort..,UCL,6,496,-,-,49.7,82.2,-,4.2,-,7.62,Mats Hummels
10,2013/2014,Borussia Dort..,GB,23,1962,2,0.6,61.6,81.4,0.1,6.3,0.2,7.71,Mats Hummels
11,2014,Germany,WC,6,509,-,-,48.2,87.5,-,3,0.2,7.85,Mats Hummels
12,2012/2013,Borussia Dort..,GB,28,2376,3,0.6,53.3,83,-,5.7,0.1,7.40,Mats Hummels
13,2012/2013,Borussia Dort..,UCL,10(1),889,1,0.5,36.5,79.6,-,5,-,7.31,Mats Hummels
14,2012,Germany,UEC,5,450,-,-,52.2,91.2,-,2.6,-,7.42,Mats Hummels
15,2011/2012,Borussia Dort..,GB,33,2950,2,0.6,57.8,77.6,-,6.8,-,7.57,Mats Hummels
16,2011/2012,Borussia Dort..,UCL,6,540,-,0.3,61.8,73.9,-,7.7,0.3,7.01,Mats Hummels
17,2010/2011,Borussia Dort..,GB,32,2835,1,0.3,48.4,77.9,-,5,-,7.25,Mats Hummels
18,2009/2010,Borussia Dort..,GB,27(3),2522,1,0.4,41.8,75.1,0.1,4.5,0.1,7.35,Mats Hummels
19,Total / Average,,,320,27017,15,0.4,60.5,82.2,0,5,0.1,7.39,Mats Hummels
0,2017/2018,Real Madrid,SLL,23(1),2004,6,2.3,75.9,92.7,1.8,5.7,0.1,7.47,Toni Kroos
1,2017/2018,Real Madrid,UCL,8(2),773,1,2.4,73.1,94.3,1.4,6.6,0.1,7.12,Toni Kroos
2,2016/2017,Real Madrid,SLL,28(1),2501,12,2.8,71.4,92.2,1.6,8.1,0.1,7.67,Toni Kroos
3,2016/2017,Real Madrid,UCL,11(1),1027,1,2.8,71.5,93.4,1.9,7.3,0.1,7.25,Toni Kroos
4,2015/2016,Real Madrid,SLL,32,2745,10,1.8,75.8,93.9,1.2,7.3,0.1,7.33,Toni Kroos
5,2015/2016,Real Madrid,UCL,11(1),995,1,2.5,79.8,94.6,1.6,5.3,0.1,7.36,Toni Kroos
6,2014/2015,Real Madrid,SLL,36,3064,7,2,65.4,92.2,1.6,5.8,0.1,7.42,Toni Kroos
7,2014/2015,Real Madrid,UCL,11(1),969,3,1.8,71,95.1,1.3,9.8,0.2,7.33,Toni Kroos
8,2016,Germany,UEC,6,570,1,2.7,107,92.4,1.5,9.7,0.5,7.76,Toni Kroos
9,2013/2014,Bayern Munich,UCL,11(1),986,2,1.8,95.4,94.2,1.1,10.7,0.3,7.45,Toni Kroos
10,2013/2014,Bayern Munich,GB,24(5),2072,4,1.3,75.6,91.9,0.9,8.6,0.1,7.34,Toni Kroos
11,2014,Germany,WC,7,690,3,2,86.4,89.9,1.4,9.6,-,7.72,Toni Kroos
12,2012/2013,Bayern Munich,GB,23(1),1926,8,2.8,52.8,89.7,2.1,3.8,0.4,7.69,Toni Kroos
13,2012/2013,Bayern Munich,UCL,8(1),591,-,2.3,41.7,85.1,1.4,3.7,0.1,7.37,Toni Kroos
14,2012,Germany,UEC,1(3),108,-,0.5,18.8,88,0.5,1.8,-,6.36,Toni Kroos
15,2011/2012,Bayern Munich,GB,27(4),2357,9,1.9,56.7,87.6,0.9,6.4,0.2,7.52,Toni Kroos
16,2011/2012,Bayern Munich,UCL,12,1075,5,2.6,62.4,90.1,1.5,5.4,0.8,7.90,Toni Kroos
17,2010/2011,Bayern Munich,GB,19(8),1740,4,1.4,34.8,86.3,0.9,3.6,-,6.82,Toni Kroos
18,2010/2011,Bayern Munich,UCL,6(1),485,-,1.9,42.3,89.2,1,3.9,-,7.21,Toni Kroos
19,2009/2010,Bayer Leverku..,GB,26(7),2360,9,2.4,37.2,82.2,1.5,2.8,0.3,7.59,Toni Kroos
20,Total / Average,,,368,29038,86,2.1,63.4,90.4,1.4,6.1,0.2,7.42,Toni Kroos
0,2016/2017,Bayern Munich,GB,24(2),2090,2,1.5,73.3,90,0.7,2.1,-,7.14,Philipp Lahm
1,2016/2017,Bayern Munich,UCL,7,660,1,2.1,75.3,91.7,1.6,2,-,6.94,Philipp Lahm
2,2015/2016,Bayern Munich,GB,25(1),2200,1,1.9,76.5,90.8,0.3,3.2,0.1,7.09,Philipp Lahm
3,2015/2016,Bayern Munich,UCL,12,1110,-,2.4,79.5,91.1,0.8,2.3,0.2,7.09,Philipp Lahm
4,2014/2015,Bayern Munich,GB,17(3),1408,2,1.6,55.9,89,0.3,2.4,-,6.90,Philipp Lahm
5,2014/2015,Bayern Munich,UCL,8,696,1,1,70.1,89.3,0.5,1.3,0.1,6.80,Philipp Lahm
