Name,Country,Age,Position,Minutes played,Appearances,Lneups,Substitute in,Substitute out,Substitutes on bench,Goal,Assist,Yellow card,Yellow 2nd_RC,Red card
M. Neuer,Alemania,32,G,136,2,2,0,1,0,0,0,0,0,0
K. Trapp,Alemania,27,G,90,1,1,0,0,2,0,0,0,0,0
M. ter Stegen,Alemania,26,G,134,2,1,1,0,3,0,0,0,0,0
B. Leno,Alemania,26,G,0,0,0,0,0,3,0,0,0,0,0
J. Boateng,Alemania,29,D,204,3,3,0,2,0,0,0,0,0,0
M. Hummels,Alemania,29,D,180,2,2,0,0,1,0,0,0,0,0
M. Plattenhardt,Alemania,26,D,90,1,1,0,0,3,0,0,0,0,0
A. R�diger,Alemania,25,D,180,2,2,0,0,2,0,0,0,0,0
N. S�le,Alemania,22,D,156,3,1,2,0,3,0,0,0,0,0
M. Ginter,Alemania,24,D,9,1,0,1,0,4,0,0,0,0,0
J. Kimmich,Alemania,23,D,351,4,4,0,1,0,0,0,0,0,0
J. Tah,Alemania,22,D,0,0,0,0,0,1,0,0,0,0,0
M. �zil,Alemania,29,M,166,2,2,0,1,1,1,0,0,0,0
S. Khedira,Alemania,31,M,189,3,3,0,2,1,0,1,0,0,0
T. Kroos,Alemania,28,M,270,3,3,0,0,0,0,0,0,0,0
S. Rudy,Alemania,28,M,44,1,0,1,0,3,0,0,0,0,0
?. G�ndo?an,Alemania,27,M,207,4,2,2,2,2,0,0,0,0,0
J. Hector,Alemania,28,M,270,3,3,0,0,1,0,0,0,0,0
J. Draxler,Alemania,24,M,262,4,3,1,1,1,0,0,0,0,0
L. Goretzka,Alemania,23,M,104,3,1,2,1,3,0,0,0,0,0
M. G�mez,Alemania,32,A,110,4,1,3,1,3,0,0,0,0,0
N. Petersen,Alemania,29,A,76,1,1,0,1,0,0,0,0,0,0
T. M�ller,Alemania,28,A,155,2,2,0,2,0,1,0,0,0,0
L. Stindl,Alemania,29,A,29,1,0,1,0,2,0,0,0,0,0
M. Reus,Alemania,29,A,80,2,1,1,1,1,0,1,0,0,0
S. Wagner,Alemania,30,A,28,1,0,1,0,2,0,0,0,0,0
J. Brandt,Alemania,22,A,112,3,1,2,1,3,0,0,0,0,0
T. Werner,Alemania,22,A,178,4,2,2,2,2,1,0,0,0,0
L. San�,Alemania,22,A,150,3,2,1,2,1,0,0,0,0,0
I. Akinfeev,Rusia,32,G,90,1,1,0,0,0,0,0,0,0,0
A. Lunev,Rusia,26,G,0,0,0,0,0,1,0,0,0,0,0
V. Gabulov,Rusia,34,G,0,0,0,0,0,1,0,0,0,0,0
M. Fernandes,Rusia,27,D,90,1,1,0,0,0,0,0,0,0,0
I. Kutepov,Rusia,24,D,90,1,1,0,0,0,0,0,0,0,0
S. Ignashevich,Rusia,38,D,90,1,1,0,0,0,0,0,0,0,0
A. Semenov,Rusia,29,D,0,0,0,0,0,1,0,0,0,0,0
F. Kudryashov,Rusia,31,D,0,0,0,0,0,1,0,0,0,0,0
V. Granat,Rusia,31,D,0,0,0,0,0,1,0,0,0,0,0
I. Smolnikov,Rusia,29,D,0,0,0,0,0,1,0,0,0,0,0
D. Cheryshev,Rusia,27,M,66,1,0,1,0,1,2,0,0,0,0
D. Kuzyaev,Rusia,25,M,26,1,0,1,0,1,0,0,0,0,0
Y. Gazinskiy,Rusia,28,M,90,1,1,0,0,0,1,0,0,0,0
A. Dzagoev,Rusia,27,M,24,1,1,0,1,0,0,0,0,0,0
R. Zobnin,Rusia,24,M,90,1,1,0,0,0,0,1,0,0,0
Aleksey Miranchuk,Rusia,22,M,0,0,0,0,0,1,0,0,0,0,0
Anton Miranchuk,Rusia,22,M,0,0,0,0,0,1,0,0,0,0,0
A. Golovin,Rusia,22,M,90,1,1,0,0,0,1,2,1,0,0
Y. Zhirkov,Rusia,34,M,90,1,1,0,0,0,0,0,0,0,0
A. Samedov,Rusia,33,M,64,1,1,0,1,0,0,0,0,0,0
A. Erokhin,Rusia,28,M,0,0,0,0,0,1,0,0,0,0,0
F. Smolov,Rusia,28,A,70,1,1,0,1,0,0,0,0,0,0
A. Dzyuba,Rusia,29,A,20,1,0,1,0,1,1,1,0,0,0
Abdullah Al Maiouf,Arabia Saudita,31,G,90,1,1,0,0,0,0,0,0,0,
Yasser Al Mosailem,Arabia Saudita,34,G,0,0,0,0,0,1,0,0,0,0,
Mohammed Al Owais,Arabia Saudita,26,G,0,0,0,0,0,1,0,0,0,0,
Mansour Al Harbi,Arabia Saudita,30,D,0,0,0,0,0,1,0,0,0,0,
Osama Hawsawi,Arabia Saudita,34,D,90,1,1,0,0,0,0,0,0,0,
Ali Albulayhi,Arabia Saudita,28,D,0,0,0,0,0,1,0,0,0,0,
Omar Hawsawi,Arabia Saudita,32,D,90,1,1,0,0,0,0,0,0,0,
Mohammed Al Burayk,Arabia Saudita,25,D,90,1,1,0,0,0,0,0,0,0,
Yasir Al Shahrani,Arabia Saudita,25,D,90,1,1,0,0,0,0,0,0,0,
Motaz Hawsawi,Arabia Saudita,26,D,0,0,0,0,0,1,0,0,0,0,
Salman Al Faraj,Arabia Saudita,28,M,90,1,1,0,0,0,0,0,0,0,
Yehya Al Shehri,Arabia Saudita,27,M,74,1,1,0,1,0,0,0,0,0,
Hattan Babhir,Arabia Saudita,25,M,16,1,0,1,0,1,0,0,0,0,
Abdulmalek Al Khaibri,Arabia Saudita,32,M,0,0,0,0,0,1,0,0,0,0,
Mohammed Kanoo,Arabia Saudita,23,M,0,0,0,0,0,1,0,0,0,0,
Abdullah Otayf,Arabia Saudita,25,M,64,1,1,0,1,0,0,0,0,0,
Abdullah Alkhaibari,Arabia Saudita,21,M,0,0,0,0,0,1,0,0,0,0,
Hussain Al Mogahwi,Arabia Saudita,30,M,0,0,0,0,0,1,0,0,0,0,
Taisir Al Jassim,Arabia Saudita,33,M,90,1,1,0,0,0,0,1,0,0,
Salem Al Dawsari,Arabia Saudita,26,M,90,1,1,0,0,0,0,0,0,0,
Mohammad Al Sahlawi,Arabia Saudita,31,A,85,1,1,0,1,0,0,0,0,0,
Fahad Al Muwallad,Arabia Saudita,23,A,26,1,0,1,0,1,0,0,0,0,
Mohanad Aseri,Arabia Saudita,31,A,5,1,0,1,0,1,0,0,0,0,
Essam El Hadary,Egipto,45,G,0,0,0,0,0,1,0,0,0,0,
Sherif Ekramy,Egipto,34,G,0,0,0,0,0,1,0,0,0,0,
Mohamed El Shenawy,Egipto,29,G,90,1,1,0,0,0,0,0,0,0,
Ali Gabr,Egipto,29,D,90,1,1,0,0,0,0,0,0,0,
Omar Gaber,Egipto,26,D,0,0,0,0,0,1,0,0,0,0,
Ahmed Hegazi,Egipto,27,D,90,1,1,0,0,0,0,1,0,0,
Ahmed Fathy,Egipto,33,D,90,1,1,0,0,0,0,0,0,0,
Ayman Ashraf,Egipto,27,D,0,0,0,0,0,1,0,0,0,0,
Mohamed Abdul Shafy,Egipto,32,D,90,1,1,0,0,0,0,0,0,0,
Mahmoud Hamdi El Wensh,Egipto,23,D,0,0,0,0,0,1,0,0,0,0,
Saad Samir,Egipto,29,D,0,0,0,0,0,1,0,0,0,0,
Ahmed El Mohamady,Egipto,30,M,0,0,0,0,0,1,0,0,0,0,
Sam Morsy,Egipto,26,M,40,1,0,1,0,1,0,1,0,0,
Tarek Hamed,Egipto,29,M,50,1,1,0,1,0,0,0,0,0,
Kahraba,Egipto,24,M,27,1,0,1,0,1,0,0,0,0,
Mohamed Elneny,Egipto,25,M,90,1,1,0,0,0,0,0,0,0,
Shikabala,Egipto,32,M,0,0,0,0,0,1,0,0,0,0,
Abdalla El Said,Egipto,32,M,90,1,1,0,0,0,0,0,0,0,
Tr�z�guet,Egipto,23,M,90,1,1,0,0,0,0,0,0,0,
Amr Warda,Egipto,24,M,82,1,1,0,1,0,0,0,0,0,
Marwan Mohsen,Egipto,29,A,63,1,1,0,1,0,0,0,0,0,
Mohamed Salah,Egipto,26,A,0,0,0,0,0,1,0,0,0,0,
Ramadan Sobhi,Egipto,21,A,8,1,0,1,0,1,0,0,0,0,
F. Muslera,Uruguay,32,G,90,1,1,0,0,0,0,0,0,0,0
M. Campa�a,Uruguay,29,G,0,0,0,0,0,1,0,0,0,0,0
M. Silva,Uruguay,35,G,0,0,0,0,0,1,0,0,0,0,0
J. Gim�nez,Uruguay,23,D,90,1,1,0,0,0,1,0,0,0,0
D. God�n,Uruguay,32,D,90,1,1,0,0,0,0,0,0,0,0
G. Varela,Uruguay,25,D,90,1,1,0,0,0,0,0,0,0,0
G. Silva,Uruguay,24,D,0,0,0,0,0,1,0,0,0,0,0
M. Pereira,Uruguay,34,D,0,0,0,0,0,1,0,0,0,0,0
S. Coates,Uruguay,27,D,0,0,0,0,0,1,0,0,0,0,0
M. C�ceres,Uruguay,31,D,90,1,1,0,0,0,0,0,0,0,0
C. S�nchez,Uruguay,33,M,32,1,0,1,0,1,0,1,0,0,0
R. Bentancur,Uruguay,20,M,90,1,1,0,0,0,0,0,0,0,0
C. Rodr�guez,Uruguay,32,M,31,1,0,1,0,1,0,0,0,0,0
N. N�ndez,Uruguay,22,M,58,1,1,0,1,0,0,0,0,0,0
G. De Arrascaeta,Uruguay,24,M,59,1,1,0,1,0,0,0,0,0,0
L. Torreira,Uruguay,22,M,3,1,0,1,0,1,0,0,0,0,0
M. Vecino,Uruguay,26,M,87,1,1,0,1,0,0,0,0,0,0
D. Laxalt,Uruguay,25,M,0,0,0,0,0,1,0,0,0,0,0
J. Urretaviscaya,Uruguay,28,M,0,0,0,0,0,1,0,0,0,0,0
L. Su�rez,Uruguay,31,A,90,1,1,0,0,0,0,0,0,0,0
C. Stuani,Uruguay,31,A,0,0,0,0,0,1,0,0,0,0,0
M. G�mez,Uruguay,21,A,0,0,0,0,0,1,0,0,0,0,0
E. Cavani,Uruguay,31,A,90,1,1,0,0,0,0,0,0,0,0
Y. Bounou,Marruecos,27,G,0,0,0,0,0,1,0,0,0,0,
Munir,Marruecos,29,G,90,1,1,0,0,0,0,0,0,0,
A. Tagnaouti,Marruecos,22,G,0,0,0,0,0,1,0,0,0,0,
A. Hakimi,Marruecos,19,D,90,1,1,0,0,0,0,0,0,0,
H. Mendyl,Marruecos,20,D,0,0,0,0,0,1,0,0,0,0,
M. da Costa,Marruecos,32,D,8,1,0,1,0,1,0,0,0,0,
M. Benatia,Marruecos,31,D,90,1,1,0,0,0,0,0,0,0,
R. Sa�ss,Marruecos,28,M,90,1,1,0,0,0,0,0,0,0,
H. Ziyech,Marruecos,25,M,90,1,1,0,0,0,0,0,0,0,
K. El Ahmadi,Marruecos,33,M,90,1,1,0,0,0,0,1,0,0,
Y. Belhanda,Marruecos,28,M,90,1,1,0,0,0,0,0,0,0,
F. Fajr,Marruecos,29,M,0,0,0,0,0,1,0,0,0,0,
M. Boussoufa,Marruecos,33,M,90,1,1,0,0,0,0,0,0,0,
Y. A�t Bennasser,Marruecos,21,M,0,0,0,0,0,1,0,0,0,0,
N. Dirar,Marruecos,32,M,0,0,0,0,0,1,0,0,0,0,
A. Harit,Marruecos,20,M,82,1,1,0,1,0,0,0,0,0,
S. Amrabat,Marruecos,21,M,14,1,0,1,0,1,0,0,0,0,
M. Carcela,Marruecos,28,M,0,0,0,0,0,1,0,0,0,0,
A. El Kaabi,Marruecos,24,A,77,1,1,0,1,0,0,0,0,0,
K. Bouta�b,Marruecos,31,A,0,0,0,0,0,1,0,0,0,0,
N. Amrabat,Marruecos,31,A,76,1,1,0,1,0,0,0,0,0,
Y. En-Nesyri,Marruecos,21,A,0,0,0,0,0,1,0,0,0,0,
A. Bouhaddouz,Marruecos,31,A,13,1,0,1,0,1,0,0,0,0,
A. Beiranvand,Iran,25,G,90,1,1,0,0,0,0,0,0,0,
M. Mazaheri,Iran,29,G,0,0,0,0,0,1,0,0,0,0,
A. Abedzadeh,Iran,25,G,0,0,0,0,0,1,0,0,0,0,
R. Cheshmi,Iran,24,D,90,1,1,0,0,0,0,0,0,0,
Milad Mohammadi,Iran,24,D,0,0,0,0,0,1,0,0,0,0,
M. Pouraliganji,Iran,26,D,90,1,1,0,0,0,0,0,0,0,
M. Khanzadeh,Iran,27,D,0,0,0,0,0,1,0,0,0,0,
P. Montazeri,Iran,34,D,0,0,0,0,0,1,0,0,0,0,
M. Hosseini,Iran,21,D,10,1,0,1,0,1,0,0,0,0,
R. Rezaeian,Iran,28,D,90,1,1,0,0,0,0,0,0,0,
M. Torabi,Iran,23,M,0,0,0,0,0,1,0,0,0,0,
E. Hajsafi,Iran,28,M,90,1,1,0,0,0,0,0,0,0,
M. Shojaei,Iran,34,M,68,1,1,0,1,0,0,1,0,0,
O. Ebrahimi,Iran,30,M,80,1,1,0,1,0,0,0,0,0,
V. Amiri,Iran,30,M,90,1,1,0,0,0,0,0,0,0,
A. Dejagah,Iran,31,M,0,0,0,0,0,1,0,0,0,0,
K. Ansarifard,Iran,28,A,90,1,1,0,0,0,0,1,0,0,
S. Ghoddos,Iran,24,A,5,1,0,1,0,1,0,0,0,0,
R. Ghoochannejhad,Iran,30,A,0,0,0,0,0,1,0,0,0,0,
M. Taremi,Iran,25,A,22,1,0,1,0,1,0,0,0,0,
A. Jahanbakhsh,Iran,24,A,85,1,1,0,1,0,0,1,0,0,
S. Azmoun,Iran,23,A,90,1,1,0,0,0,0,0,0,0,
Rui Patr�cio,Portugal,30,G,90,1,1,0,0,0,0,0,0,0,0
Anthony Lopes,Portugal,27,G,0,0,0,0,0,1,0,0,0,0,0
Beto,Portugal,36,G,0,0,0,0,0,1,0,0,0,0,0
Bruno Alves,Portugal,36,D,0,0,0,0,0,1,0,0,0,0,0
Pepe,Portugal,35,D,90,1,1,0,0,0,0,0,0,0,0
Rapha�l Guerreiro,Portugal,24,D,90,1,1,0,0,0,0,0,0,0,0
Jos� Fonte,Portugal,34,D,90,1,1,0,0,0,0,0,0,0,0
R�ben Dias,Portugal,21,D,0,0,0,0,0,1,0,0,0,0,0
Ricardo Pereira,Portugal,24,D,0,0,0,0,0,1,0,0,0,0,0
M�rio Rui,Portugal,27,D,0,0,0,0,0,1,0,0,0,0,0
C�dric Soares,Portugal,26,D,90,1,1,0,0,0,0,0,0,0,0
Manuel Fernandes,Portugal,32,M,0,0,0,0,0,1,0,0,0,0,0
Jo�o Moutinho,Portugal,31,M,90,1,1,0,0,0,0,0,0,0,0
Jo�o M�rio,Portugal,25,M,22,1,0,1,0,1,0,0,0,0,0
Bernardo Silva,Portugal,23,M,69,1,1,0,1,0,0,0,0,0,0
William Carvalho,Portugal,26,M,90,1,1,0,0,0,0,0,0,0,0
Bruno Fernandes,Portugal,23,M,68,1,1,0,1,0,0,0,1,0,0
Gon�alo Guedes,Portugal,21,M,80,1,1,0,1,0,0,1,0,0,0
Ricardo Quaresma,Portugal,34,M,21,1,0,1,0,1,0,0,0,0,0
Adrien Silva,Portugal,29,M,0,0,0,0,0,1,0,0,0,0,0
Cristiano Ronaldo,Portugal,33,A,90,1,1,0,0,0,3,0,0,0,0
Andr� Silva,Portugal,22,A,10,1,0,1,0,1,0,0,0,0,0
Gelson Martins,Portugal,23,A,0,0,0,0,0,1,0,0,0,0,0
David de Gea,Espana,27,G,90,1,1,0,0,0,0,0,0,0,0
Kepa,Espana,23,G,0,0,0,0,0,1,0,0,0,0,0
Pepe Reina,Espana,35,G,0,0,0,0,0,1,0,0,0,0,0
Daniel Carvajal,Espana,26,D,0,0,0,0,0,1,0,0,0,0,0
Piqu�,Espana,31,D,90,1,1,0,0,0,0,0,0,0,0
Nacho,Espana,28,D,90,1,1,0,0,0,1,0,0,0,0
�lvaro Odriozola,Espana,22,D,0,0,0,0,0,1,0,0,0,0,0
Azpilicueta,Espana,28,D,0,0,0,0,0,1,0,0,0,0,0
Sergio Ramos,Espana,32,D,90,1,1,0,0,0,0,0,0,0,0
Nacho Monreal,Espana,32,D,0,0,0,0,0,1,0,0,0,0,0
Jordi Alba,Espana,29,D,90,1,1,0,0,0,0,0,0,0,0
Sergio Busquets,Espana,29,M,90,1,1,0,0,0,0,1,1,0,0
Iniesta,Espana,34,M,70,1,1,0,1,0,0,0,0,0,0
Sa�l,Espana,23,M,0,0,0,0,0,1,0,0,0,0,0
Koke,Espana,26,M,90,1,1,0,0,0,0,0,0,0,0
Thiago Alc�ntara,Espana,27,M,20,1,0,1,0,1,0,0,0,0,0
Lucas V�zquez,Espana,26,M,4,1,0,1,0,1,0,0,0,0,0
Marco Asensio,Espana,22,M,0,0,0,0,0,1,0,0,0,0,0
David Silva,Espana,32,M,86,1,1,0,1,0,0,0,0,0,0
Isco,Espana,26,M,90,1,1,0,0,0,0,0,0,0,0
Rodrigo,Espana,27,A,0,0,0,0,0,1,0,0,0,0,0
Iago Aspas,Espana,30,A,13,1,0,1,0,1,0,0,0,0,0
Diego Costa,Espana,29,A,77,1,1,0,1,0,2,0,0,0,0
H. Lloris,Francia,31,G,360,4,4,0,0,1,0,0,0,0,0
S. Mandanda,Francia,33,G,90,1,1,0,0,4,0,0,0,0,0
A. Areola,Francia,25,G,0,0,0,0,0,5,0,0,0,0,0
A. Rami,Francia,32,D,180,2,2,0,0,1,0,0,0,0,0
L. Koscielny,Francia,32,D,90,1,1,0,0,1,0,0,0,0,0
D. Sidib�,Francia,25,D,246,3,3,0,2,2,0,0,0,0,0
L. Digne,Francia,24,D,76,1,1,0,1,1,0,0,1,0,0
R. Varane,Francia,25,D,180,2,2,0,0,2,0,0,0,0,0
S. Umtiti,Francia,24,D,414,5,5,0,2,0,1,0,0,0,0
B. Mendy,Francia,23,D,157,3,2,1,2,1,0,0,0,0,0
P. Kimpembe,Francia,22,D,36,2,0,2,0,5,0,0,0,0,0
L. Hern�ndez,Francia,22,D,217,5,2,3,1,3,0,0,0,0,0
B. Pavard,Francia,22,D,204,4,2,2,0,3,0,1,0,0,0
B. Matuidi,Francia,31,M,235,5,3,2,2,2,0,1,0,0,0
S. N'Zonzi,Francia,29,M,94,2,1,1,0,2,0,0,0,0,0
P. Pogba,Francia,25,M,304,5,3,2,1,2,1,1,0,0,0
T. Lemar,Francia,22,M,115,4,1,3,0,4,1,0,0,0,0
N. Kant�,Francia,27,M,336,4,4,0,1,1,0,0,0,0,0
C. Tolisso,Francia,23,M,210,4,2,2,2,3,0,0,0,0,0
A. Rabiot,Francia,23,M,81,1,1,0,1,1,0,0,0,0,0
O. Giroud,Francia,31,A,252,5,3,2,2,2,2,0,0,0,0
A. Griezmann,Francia,27,A,287,5,3,2,3,2,1,0,0,0,0
W. Ben Yedder,Francia,27,A,17,1,0,1,0,2,0,0,0,0,0
F. Thauvin,Francia,25,A,14,2,0,2,0,4,0,0,0,0,0
N. Fekir,Francia,24,A,85,2,1,1,1,2,1,0,0,0,0
A. Martial,Francia,22,A,58,1,1,0,1,1,0,0,0,0,0
O. Demb�l�,Francia,21,A,212,5,2,3,2,3,1,0,0,0,0
K. Mbapp�,Francia,19,A,400,5,5,0,5,0,3,2,1,0,0
B. Jones,Australia,36,G,90,2,1,1,1,3,0,0,0,0,0
D. Vukovi?,Australia,33,G,44,1,0,1,0,4,0,0,0,0,0
M. Ryan,Australia,26,G,226,3,3,0,1,1,0,0,0,0,0
J. Meredith,Australia,30,D,0,0,0,0,0,4,0,0,0,0,0
M. Jurman,Australia,28,D,0,0,0,0,0,2,0,0,0,0,0
A. Behich,Australia,27,D,360,4,4,0,0,0,0,0,0,0,0
T. Sainsbury,Australia,26,D,180,2,2,0,0,0,0,0,0,0,0
B. Wright,Australia,25,D,52,1,1,0,1,1,0,0,0,0,0
J. Risdon,Australia,25,D,256,3,3,0,1,1,0,0,0,0,0
M. Degenek,Australia,24,D,194,3,2,1,0,2,0,0,0,0,0
A. �u�njar,Australia,22,D,38,1,0,1,0,2,0,0,0,0,0
F. Kara?i?,Australia,22,D,0,0,0,0,0,1,0,0,0,0,0
M. Milligan,Australia,32,M,360,4,4,0,0,0,0,0,0,0,0
M. Jedinak,Australia,33,M,195,3,2,1,1,2,0,0,1,0,0
M. Leckie,Australia,27,M,347,4,4,0,3,0,2,0,1,0,0
A. Mooy,Australia,27,M,270,3,3,0,0,0,0,2,0,0,0
J. Brillante,Australia,25,M,0,0,0,0,0,3,0,0,0,0,0
M. Luongo,Australia,25,M,255,4,3,1,2,1,0,0,0,0,0
J. Irvine,Australia,25,M,111,4,1,3,1,3,1,1,0,0,0
T. Rogi?,Australia,25,M,242,4,3,1,3,1,0,0,0,0,0
A. Nabbout,Australia,25,M,247,4,4,0,4,0,1,0,0,0,0
D. Arzani,Australia,19,M,23,2,0,2,0,2,1,0,0,0,0
T. Cahill,Australia,38,A,37,2,0,2,0,4,0,0,0,0,0
J. Troisi,Australia,29,A,7,1,0,1,0,2,0,0,0,0,0
N. Rukavytsya,Australia,30,A,7,2,0,2,0,3,0,0,0,0,0
R. Kruse,Australia,29,A,179,4,2,2,2,2,0,1,0,0,0
D. Petratos,Australia,25,A,91,2,1,1,1,3,0,0,0,0,0
T. Juri?,Australia,26,A,120,3,1,2,2,3,0,0,0,0,0
J. MacLaren,Australia,24,A,29,1,0,1,0,2,0,0,0,0,0
P. Gallese,Peru,28,G,180,2,2,0,0,1,0,0,0,0,0
J. Carvallo,Peru,32,G,90,1,1,0,0,4,0,0,0,0,0
C. C�ceda,Peru,26,G,180,2,2,0,0,3,0,0,0,0,0
A. Duarte,Peru,24,G,0,0,0,0,0,2,0,0,0,0,0
A. Rodr�guez,Peru,34,D,171,2,2,0,1,2,0,0,0,0,0
A. Corzo,Peru,29,D,34,3,0,3,0,5,0,0,0,0,0
C. Ramos,Peru,29,D,388,5,5,0,2,0,0,0,1,0,0
L. Adv�ncula,Peru,28,D,416,5,5,0,3,0,0,0,0,0,0
A. Santamar�a,Peru,26,D,279,4,3,1,0,2,0,0,0,0,0
M. Trauco,Peru,25,D,421,5,5,0,1,0,0,2,0,0,0
M. Araujo,Peru,23,D,62,2,0,2,0,5,0,0,0,0,0
L. Abram,Peru,22,D,0,0,0,0,0,3,0,0,0,0,0
N. Loyola,Peru,23,D,29,1,0,1,0,5,0,0,1,0,0
P. Hurtado,Peru,27,M,61,4,0,4,0,5,0,0,0,0,0
Y. Yot�n,Peru,28,M,323,4,4,0,1,1,0,1,1,1,0
C. Cueva,Peru,26,M,378,5,5,0,5,0,1,0,1,0,0
R. Tapia,Peru,22,M,423,5,5,0,3,0,1,0,1,0,0
P. Aquino,Peru,23,M,37,3,0,3,0,5,0,0,1,0,0
C. Benavente,Peru,24,M,50,2,0,2,0,2,0,0,0,0,0
�. Flores,Peru,24,M,330,5,4,1,2,1,1,0,0,0,0
W. Cartagena,Peru,23,M,6,1,0,1,0,3,0,0,0,0,0
S. Pe�a,Peru,22,M,20,2,0,2,0,4,0,0,0,0,0
R. Siucho,Peru,21,M,0,0,0,0,0,2,0,0,0,0,0
P. Guerrero,Peru,34,A,155,2,2,0,1,0,2,0,0,0,0
J. Farf�n,Peru,33,A,362,5,4,1,3,1,2,1,0,0,0
R. Ruid�az,Peru,27,A,89,3,1,2,1,4,1,0,0,0,0
A. Carrillo,Peru,27,A,411,5,5,0,3,0,2,1,0,0,0
A. Polo,Peru,23,A,27,2,0,2,0,5,0,0,0,0,0
L. da Silva,Peru,21,A,12,1,0,1,0,2,0,0,0,0,0
K. Schmeichel,Dinamarca,31,G,360,4,4,0,0,0,0,0,0,0,0
J. L�ssl,Dinamarca,29,G,0,0,0,0,0,4,0,0,0,0,0
F. R�nnow,Dinamarca,25,G,0,0,0,0,0,4,0,0,0,0,0
S. Kj�r,Dinamarca,29,D,307,4,4,0,2,0,0,0,0,0,0
M. J�rgensen,Dinamarca,28,D,90,1,1,0,0,3,0,0,0,0,0
H. Dalsgaard,Dinamarca,28,D,270,3,3,0,0,0,0,1,1,0,0
J. Larsen,Dinamarca,27,D,337,4,4,0,1,0,0,0,0,0,0
