Comp,EquipoA,EquipoB,GolesA,GolesB,Info,JugadoresA,JugadoresB
Friendlies,France,Russia,4,2,/matches/2016/03/29/world/friendlies/france/russia/2165480/,"[H. Lloris, B. Sagna, P. Evra, M. Sakho, R. Varane, L. Diarra, P. Pogba, N. Kanté, A. Gignac, A. Griezmann, A. Martial]","[I. Akinfeev, V. Berezutski, A. Berezutski, O. Kuzmin, Y. Zhirkov, R. Shirokov, O. Shatov, A. Dzagoev, A. Golovin, A. Kokorin, A. Dzyuba]"
Friendlies,Serbia,Russia,1,1,/matches/2016/06/05/world/friendlies/serbia/russia/2212409/,"[V. Stojković, B. Ivanović, S. Rajković, A. Rukavina, N. Milunović, F. Mladenović, D. Tadić, L. Milivojević, F. Kostić, M. Grujić, A. Mitrović]","[I. Akinfeev, V. Berezutski, S. Ignashevich, I. Smolnikov, G. Shchennikov, I. Denisov, O. Shatov, A. Golovin, F. Smolov, A. Kokorin, A. Dzyuba]"
Friendlies,Russia,Costa Rica,3,4,/matches/2016/10/09/world/friendlies/russia/costa-rica/2358034/,"[S. Dzhanaev, V. Berezutski, I. Smolnikov, I. Kutepov, A. Samedov, O. Shatov, A. Erokhin, Y. Gazinskiy, S. Petrov, R. Zobnin, A. Dzyuba]","[K. Navas, G. González, J. Acosta, J. Salvatierra, R. Matarrita, F. Calvo, R. Azofeifa, C. Borges, J. Venegas, B. Ruiz, M. Ureña]"
European Championship,Russia,Slovakia,1,2,/matches/2016/06/15/europe/european-championships/russia/slovakia/2024849/,"[I. Akinfeev, V. Berezutski, S. Ignashevich, I. Smolnikov, R. Neustädter, G. Shchennikov, O. Shatov, A. Golovin, F. Smolov, A. Kokorin, A. Dzyuba]","[M. Kozáčik, M. Škrtel, T. Hubocan, P. Pekarík, J. Durica, M. Hamšík, J. Kucka, V. Pečovský, O. Duda, V. Weiss, R. Mak]"
Friendlies,Turkey,Russia,0,0,/matches/2016/08/31/world/friendlies/turkey/russia/2333995/,"[V. Babacan, S. Aziz, İ. Köybaşı, Ş. Özbayraklı, C. Söyüncü, M. Topal, V. Şen, H. Çalhanoğlu, O. Tufan, C. Tosun, E. Mor]","[I. Akinfeev, V. Berezutski, F. Kudryashov, I. Novoseltsev, Y. Zhirkov, D. Tarasov, A. Samedov, O. Shatov, M. Ozdoev, Aleksey Miranchuk, F. Smolov]"
Friendlies,Russia,Romania,1,0,/matches/2016/11/15/world/friendlies/russia/romania/2366279/,"[I. Akinfeev, F. Kudryashov, A. Semenov, I. Kutepov, Y. Zhirkov, A. Samedov, D. Glushakov, R. Zobnin, P. Mogilevets, Aleksey Miranchuk, A. Kokorin]","[C. Pantilimon, C. Sapunaru, I. Latovlevici, D. Grigore, A. Prepeliță, G. Enache, R. Marin, D. Rotariu, B. Stancu, G. Grozav, F. Andone]"
Friendlies,Russia,Belgium,3,3,/matches/2017/03/28/world/friendlies/russia/belgium/2390557/,"[I. Akinfeev, F. Kudryashov, V. Vasin, R. Neustädter, D. Kombarov, A. Samedov, A. Dzagoev, A. Erokhin, R. Zobnin, M. Kanunnikov, D. Poloz]","[S. Mignolet, T. Vermaelen, J. Vertonghen, T. Alderweireld, M. Dembélé, R. Nainggolan, N. Chadli, T. Foket, Y. Tielemans, K. Mirallas, C. Benteke]"
Friendlies,Russia,Chile,1,1,/matches/2017/06/09/world/friendlies/russia/chile/2430001/,"[I. Akinfeev, R. Shishkin, F. Kudryashov, V. Vasin, I. Smolnikov, D. Kombarov, A. Samedov, D. Glushakov, A. Golovin, Aleksey Miranchuk, F. Smolov]","[J. Herrera, G. Jara, M. Isla, G. Medel, A. Vidal, J. Fuenzalida, C. Aránguiz, J. Beausejour, P. Hernández, M. Rodríguez, E. Vargas]"
Confederations Cup,Russia,Portugal,0,1,/matches/2017/06/21/world/confederations-cup/russia/portugal/2166012/,"[I. Akinfeev, R. Shishkin, F. Kudryashov, V. Vasin, G. Dzhikiya, Y. Zhirkov, D. Kombarov, A. Samedov, D. Glushakov, A. Golovin, F. Smolov]","[Rui Patrício, Pepe, Bruno Alves, Cédric Soares, Raphaël Guerreiro, Adrien Silva, William Carvalho, André Gomes, Bernardo Silva, Cristiano Ronaldo, André Silva]"
Hybrid Friendlies,Russia,Dinamo Moskva,3,0,/matches/2017/09/03/world/hybrid-friendlies/russia/fk-dinamo-moskva/2576374/,"[A. Lunev, K. Rausch, R. Neustädter, M. Fernandes, I. Kutepov, V. Shakhov, D. Tarasov, D. Kuzyaev, Aleksey Miranchuk, Anton Miranchuk, A. Zabolotnyi]","[S. Narubin, V. Rykov, G. Morozov, S. Holmén, I. Temnikov, S. Sow, K. Thiam, A. Katrich, A. Terekhov, E. Lutsenko, Wanderson]"
Friendlies,Russia,Iran,1,1,/matches/2017/10/10/world/friendlies/russia/iran/2597892/,"[A. Lunev, F. Kudryashov, V. Vasin, K. Rausch, M. Fernandes, I. Kutepov, D. Tarasov, A. Erokhin, Aleksey Miranchuk, F. Smolov, A. Kokorin]","[A. Beiranvand, J. Hosseini, V. Ghafouri, M. Pouraliganji, E. Hajsafi, O. Ebrahimi, V. Amiri, S. Ezatolahi, M. Taremi, S. Azmoun, A. Jahanbakhsh]"
Friendlies,Russia,Spain,3,3,/matches/2017/11/14/world/friendlies/russia/spain/2632084/,"[A. Lunev, F. Kudryashov, V. Vasin, I. Smolnikov, G. Dzhikiya, Y. Zhirkov, D. Glushakov, A. Dzagoev, D. Kuzyaev, Aleksey Miranchuk, F. Smolov]","[David de Gea, Sergio Ramos, Piqué, Jordi Alba, Nacho, Iniesta, Sergio Busquets, Thiago Alcântara, Marco Asensio, Rodrigo, Suso]"
Friendlies,Russia,France,1,3,/matches/2018/03/27/world/friendlies/russia/france/2699987/,"[A. Lunev, F. Kudryashov, V. Granat, R. Neustädter, Y. Zhirkov, A. Samedov, A. Dzagoev, A. Erokhin, A. Golovin, Aleksey Miranchuk, F. Smolov]","[H. Lloris, L. Koscielny, S. Umtiti, L. Hernández, B. Pavard, P. Pogba, N. Kanté, A. Rabiot, A. Martial, O. Dembélé, K. Mbappé]"
Friendlies,Russia,Turkey,1,1,/matches/2018/06/05/world/friendlies/russia/turkey/2712677/,"[I. Akinfeev, S. Ignashevich, I. Smolnikov, I. Kutepov, Y. Zhirkov, A. Samedov, A. Dzagoev, Y. Gazinskiy, R. Zobnin, A. Golovin, F. Smolov]","[S. Kırıntılı, H. Kaldırım, Ş. Özbayraklı, K. Ayhan, C. Söyüncü, M. Tekdemir, O. Yokuşlu, İ. Kahveci, C. Ünder, Y. Yazıcı, K. Karaman]"
Friendlies,Russia,Lithuania,3,0,/matches/2016/03/26/world/friendlies/russia/lithuania/2213468/,"[S. Kritsyuk, S. Ignashevich, A. Berezutski, I. Smolnikov, D. Tarasov, D. Kombarov, A. Samedov, O. Ivanov, P. Mamaev, D. Glushakov, F. Smolov]","[V. Černiauskas, D. Česnauskis, T. Mikuckis, L. Klimavicius, V. Andriuškevičius, S. Mikoliūnas, A. Žulpa, F. Černych, V. Slivka, O. Verbickas, L. Spalvis]"
Friendlies,Russia,Czech Republic,1,2,/matches/2016/06/01/world/friendlies/russia/czech-republic/2212663/,"[Y. Lodygin, V. Berezutski, S. Ignashevich, I. Smolnikov, O. Ivanov, I. Denisov, D. Torbinski, O. Shatov, F. Smolov, A. Kokorin, A. Dzyuba]","[P. Čech, R. Hubník, M. Kadlec, D. Limberský, T. Gebre Selassie, T. Rosický, B. Dočkal, D. Pavelka, L. Krejčí, V. Darida, D. Lafata]"
Friendlies,Russia,Brazil,0,3,/matches/2018/03/23/world/friendlies/russia/brazil/2692518/,"[I. Akinfeev, F. Kudryashov, V. Granat, I. Kutepov, D. Kombarov, A. Samedov, D. Glushakov, R. Zobnin, A. Golovin, Aleksey Miranchuk, F. Smolov]","[Alisson, João Miranda, Dani Alves, Thiago Silva, Marcelo, Paulinho, Douglas Costa, Philippe Coutinho, Casemiro, Willian, Gabriel Jesus]"
Friendlies,Austria,Russia,1,0,/matches/2018/05/30/world/friendlies/austria/russia/2711747/,"[H. Lindner, S. Prödl, A. Dragović, S. Lainer, M. Hinteregger, J. Baumgartlinger, F. Kainz, P. Zulj, L. Schaub, A. Schöpf, M. Arnautović]","[I. Akinfeev, F. Kudryashov, S. Ignashevich, V. Granat, M. Fernandes, Y. Zhirkov, A. Samedov, R. Zobnin, D. Kuzyaev, A. Golovin, F. Smolov]"
