Avg. goals conceded p/m,Avg. goals scored p/m,Avg. time 1st goal conced.,Avg. time 1st goal scored,Biggest defeat,Biggest victory,Clean sheets,Draws,Equipo,Failed to score,Goals against,Goals for,Losses,Matches played,Points,Torneo,Wins
0,0,-,-,-,-,0,0,Egipto,0,0,0,0,0,0,World Cup - 2018 Russia,0
1.5,0.5,69m,56m,0 - 1,-,0,0,Egipto,1,3,1,2,2,0,Friendlies - 2018,0
0.5,0.83,66m,55m,-,1 - 0,4,1,Egipto,1,3,5,1,6,13,Africa Cup of Nations - 2017 Gabon,4
1,0,48m,-,-,-,0,0,Egipto,1,1,0,1,1,0,Africa Cup of Nations Qualification - 2019 Cameroon,0
0.62,1.5,59m,36m,-,4 - 0,3,1,Egipto,2,5,12,2,8,16,WC Qualification Africa - 2018 Russia,5
2,1,-,-,-,-,0,1,Egipto,0,4,2,1,2,1,African Nations Championship - 2018 Morocco,0
0,0,-,-,-,-,0,0,Rusia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,1,19m,47m,0 - 1,2 - 0,1,0,Rusia,1,3,3,2,3,3,Confederations Cup - 2017 Russia,1
3,0.5,46m,68m,-,-,0,0,Rusia,1,6,1,2,2,0,Friendlies - 2018,0
2,0.67,38m,85m,-,-,0,1,Rusia,1,6,2,2,3,1,European Championship - 2016 France,0
0.5,2.1,62m,41m,0 - 1,7 - 0,5,2,Rusia,2,5,21,2,10,20,EC Qualification - 2016 France,6
0,0,-,-,-,-,0,0,Rusia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,RI de Irán,0,0,0,0,0,0,World Cup - 2018 Russia,0
0.67,2,56m,13m,-,4 - 0,1,0,RI de Irán,1,2,6,1,3,6,Friendlies - 2018,2
0.75,1.75,56m,52m,-,2 - 0,3,0,RI de Irán,0,3,7,1,4,9,Asian Cup - 2015 Australia,3
0.28,2,43m,36m,-,6 - 0,14,6,RI de Irán,3,5,36,0,18,42,WC Qualification Asia - 2018 Russia,12
0,0,-,-,-,-,0,0,Arabia Saudí,0,0,0,0,0,0,World Cup - 2018 Russia,0
2.25,1.25,30m,35m,-,3 - 0,1,1,Arabia Saudí,1,9,5,2,4,4,Friendlies - 2018,1
1.67,1.67,31m,48m,1 - 3,4 - 1,0,0,Arabia Saudí,1,5,5,2,3,3,Asian Cup - 2015 Australia,1
0.78,2.5,36m,44m,-,10 - 0,10,3,Arabia Saudí,1,14,45,3,18,39,WC Qualification Asia - 2018 Russia,12
1,0.67,68m,13m,-,2 - 1,1,1,Arabia Saudí,2,3,2,1,3,4,Gulf Cup of Nations - 2017 Kuwait,1
0,0,-,-,-,-,0,0,Uruguay,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,0,-,-,-,-,0,0,Uruguay,0,0,0,0,0,0,Friendlies - 2018,0
0,1.5,-,29m,-,2 - 0,2,0,Uruguay,0,0,3,0,2,6,China Cup - 2018,2
1.33,1.33,60m,47m,1 - 3,3 - 0,1,0,Uruguay,1,4,4,2,3,3,Copa America - 2016 USA,1
1.11,1.78,34m,30m,1 - 4,4 - 0,8,4,Uruguay,3,20,32,5,18,31,WC Qualification South America - 2018 Russia,9
0,0,-,-,-,-,0,0,Marruecos,0,0,0,0,0,0,World Cup - 2018 Russia,0
0.5,2,37m,16m,-,2 - 0,1,0,Marruecos,0,1,4,0,2,6,Friendlies - 2018,2
0.75,1,49m,39m,-,3 - 1,1,0,Marruecos,2,3,4,2,4,6,Africa Cup of Nations - 2017 Gabon,2
1,0,28m,-,-,-,0,0,Marruecos,1,1,0,1,1,0,Africa Cup of Nations Qualification - 2019 Cameroon,0
0.12,1.62,15m,28m,-,6 - 0,7,3,Marruecos,4,1,13,1,8,15,WC Qualification Africa - 2018 Russia,4
0.5,2.5,57m,49m,-,4 - 0,4,2,Marruecos,1,4,20,0,8,20,African Nations Championship - 2018 Morocco,6
0,0,-,-,-,-,0,0,Portugal,0,0,0,0,0,0,World Cup - 2018 Russia,0
0.6,1.8,42m,41m,-,4 - 0,3,1,Portugal,1,3,9,1,5,10,Confederations Cup - 2017 Russia,3
2,1,33m,90m,-,2 - 1,0,0,Portugal,1,4,2,1,2,3,Friendlies - 2018,1
0.71,1.29,23m,63m,-,2 - 0,4,3,Portugal,3,5,9,0,7,15,European Championship - 2016 France,4
0.62,1.38,48m,51m,-,2 - 1,4,0,Portugal,1,5,11,1,8,21,EC Qualification - 2016 France,7
0.4,3.2,42m,31m,-,6 - 0,7,0,Portugal,1,4,32,1,10,27,WC Qualification Europe - 2018 Russia,9
0,0,-,-,-,-,0,0,Portugal,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,España,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,3.5,37m,9m,-,6 - 1,0,1,España,0,2,7,0,2,4,Friendlies - 2018,1
1,1.25,39m,42m,-,3 - 0,2,0,España,1,4,5,2,4,6,European Championship - 2016 France,2
0.3,2.3,22m,31m,-,4 - 0,8,0,España,0,3,23,1,10,27,EC Qualification - 2016 France,9
0.3,3.6,74m,31m,-,8 - 0,7,1,España,0,3,36,0,10,28,WC Qualification Europe - 2018 Russia,9
0,0,-,-,-,-,0,0,España,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Australia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1.67,1.33,39m,47m,-,-,0,2,Australia,0,5,4,1,3,2,Confederations Cup - 2017 Russia,0
0.5,1.5,90m,53m,-,3 - 1,1,1,Australia,1,1,3,0,2,4,WC Qualification Intercontinental Play-offs - 2018 Russia,1
2,0.5,36m,19m,-,-,1,1,Australia,1,4,1,1,2,1,Friendlies - 2018,0
0.5,2.33,43m,31m,-,4 - 0,3,0,Australia,1,3,14,1,6,15,Asian Cup - 2015 Australia,5
0.85,2.4,47m,30m,-,7 - 0,8,5,Australia,2,17,48,2,20,44,WC Qualification Asia - 2018 Russia,13
0,0,-,-,-,-,0,0,Dinamarca,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,0.5,-,69m,-,1 - 0,2,1,Dinamarca,1,0,1,0,2,4,Friendlies - 2018,1
2,1,-,-,2 - 3,-,0,0,Dinamarca,1,4,2,2,2,0,Non-FIFA Friendlies - 2018,0
0.9,1.1,44m,63m,0 - 1,2 - 0,3,4,Dinamarca,4,9,11,3,10,13,EC Qualification - 2016 France,3
0.75,2.08,34m,29m,0 - 1,4 - 0,5,3,Dinamarca,3,9,25,2,12,24,WC Qualification Europe - 2018 Russia,7
0,0,-,-,-,-,0,0,Dinamarca,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Francia,0,0,0,0,0,0,World Cup - 2018 Russia,0
2,2.5,48m,25m,-,3 - 1,0,0,Francia,0,4,5,1,2,3,Friendlies - 2018,1
0.71,1.86,58m,58m,-,5 - 2,3,1,Francia,2,5,13,1,7,16,European Championship - 2016 France,5
0.6,1.8,36m,27m,-,4 - 0,5,2,Francia,2,6,18,1,10,23,WC Qualification Europe - 2018 Russia,7
0,0,-,-,-,-,0,0,Francia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Perú,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,1,-,28m,-,2 - 0,2,1,Perú,1,0,2,0,2,4,WC Qualification Intercontinental Play-offs - 2018 Russia,1
0.5,2.5,22m,7m,-,2 - 0,1,0,Perú,0,1,5,0,2,6,Friendlies - 2018,2
0.5,1,39m,47m,-,1 - 0,3,1,Perú,1,2,4,1,4,7,Copa America - 2016 USA,2
1.44,1.5,35m,45m,0 - 3,3 - 0,3,5,Perú,5,26,27,6,18,26,WC Qualification South America - 2018 Russia,7
0,0,-,-,-,-,0,0,Argentina,0,0,0,0,0,0,World Cup - 2018 Russia,0
3,1.5,12m,57m,-,2 - 0,1,0,Argentina,0,6,3,1,2,3,Friendlies - 2018,1
0.33,3,80m,16m,-,5 - 0,4,0,Argentina,1,2,18,1,6,15,Copa America - 2016 USA,5
0.89,1.06,36m,24m,0 - 3,3 - 0,8,7,Argentina,7,16,19,4,18,28,WC Qualification South America - 2018 Russia,7
0,0,-,-,-,-,0,0,Croacia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,0.5,12m,62m,-,1 - 0,1,0,Croacia,1,2,1,1,2,3,Friendlies - 2018,1
1,1.25,66m,41m,-,2 - 1,1,1,Croacia,1,4,5,1,4,7,European Championship - 2016 France,2
0.5,2,44m,20m,-,6 - 0,6,3,Croacia,2,5,20,1,10,21,EC Qualification - 2016 France,6
0.42,1.58,66m,36m,-,6 - 0,7,3,Croacia,3,5,19,2,12,24,WC Qualification Europe - 2018 Russia,7
0,0,-,-,-,-,0,0,Croacia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Islandia,0,0,0,0,0,0,World Cup - 2018 Russia,0
3,0.5,20m,22m,0 - 3,-,0,0,Islandia,1,6,1,2,2,0,Friendlies - 2018,0
0.5,5,29m,45m,-,6 - 0,1,0,Islandia,0,1,10,0,2,6,Non-FIFA Friendlies - 2018,2
1.8,1.6,26m,33m,-,2 - 1,0,2,Islandia,0,9,8,1,5,8,European Championship - 2016 France,2
0.6,1.7,59m,29m,-,3 - 0,6,2,Islandia,2,6,17,2,10,20,EC Qualification - 2016 France,6
0.7,1.6,27m,40m,-,3 - 0,5,1,Islandia,2,7,16,2,10,22,WC Qualification Europe - 2018 Russia,7
0,0,-,-,-,-,0,0,Islandia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Nigeria,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,0.5,68m,61m,-,1 - 0,1,0,Nigeria,1,2,1,1,2,3,Friendlies - 2018,1
2,0,54m,-,-,-,0,0,Nigeria,1,2,0,1,1,0,Africa Cup of Nations Qualification - 2019 Cameroon,0
