Campeonato,Disciplina,Entradas por partido,Equipo,Goles por partido,Pm Posesión,Precisión de Pase,Regates por partido,Temporada,Tiros por partido,rating
European Championship,20,"15,3",Russia,"0,7","51,3%","81,5%",4,2016,11,"6,43"
Copa America,92,"25,5",Uruguay,"0,5","42,2%","69,4%","6,5",2015,"10,8","6,70"
European Championship,130,"14,9",Portugal,"1,3","51,5%","83,7%","10,6",2016,"17,6","6,92"
European Championship,50,"8,3",Spain,"1,3","61,9%",89%,6,2016,"16,3","6,72"
FIFA World Cup,40,21,Iran,"0,3","35,5%","69,8%","5,3",2014,8,"6,62"
European Championship,130,"17,9",France,"1,9","54,3%","85,4%","12,7",2016,"17,7","7,11"
FIFA World Cup,60,"12,3",Australia,1,"44,3%","79,7%","10,3",2014,9,"6,39"
Copa America,151,"19,3",Peru,"1,3","47,4%","78,9%","11,8",2015,"12,7","6,82"
European Championship,40,"13,3",Denmark,"1,3","48,5%","83,4%",5,2012,9,"6,84"
Copa America,150,"19,3",Argentina,"1,7",59%,85%,"16,5",2015,"14,8","7,11"
European Championship,120,"17,2",Iceland,"1,6","36,1%","67,6%","3,2",2016,"8,4","6,68"
European Championship,80,20,Croatia,"1,3","49,8%",79%,11,2016,"16,5","6,94"
FIFA World Cup,30,"19,3",Nigeria,"0,8","48,9%","80,9%","12,5",2014,"12,8","6,95"
Copa America,81,"19,3",Brazil,"1,3","57,4%","84,5%","12,8",2015,12,"6,76"
European Championship,60,"19,3",Switzerland,"0,8","56,9%","85,8%","6,3",2016,"17,3","6,87"
FIFA World Cup,101,"20,6",Costa Rica,1,"41,8%","75,3%","4,2",2014,"8,2","6,87"
European Championship,110,"14,3",Germany,"1,2",63%,"87,7%",13,2016,"18,8","7,04"
Copa America,50,"20,7",Mexico,"1,3","45,7%","67,6%","7,3",2015,"9,7","6,64"
European Championship,40,"5,7",Sweden,"0,3","52,2%","76,8%",7,2016,"7,7","6,48"
FIFA World Cup,60,"17,3",South Korea,1,"51,3%","82,4%","10,7",2014,"11,3","6,70"
European Championship,90,14,Belgium,"1,8","52,1%","83,9%","10,4",2016,19,"7,03"
Africa Cup of Nations,70,"17,8",Tunisia,"1,3","51,4%",78%,"7,5",2015,"11,8","6,81"
European Championship,30,"10,3",England,1,"59,1%","85,6%",19,2016,"20,5","6,85"
European Championship,110,"15,4",Poland,"0,8","46,9%","78,7%","7,8",2016,"13,6","6,95"
Africa Cup of Nations,50,"12,7",Senegal,1,"56,5%",78%,4,2015,"14,3","6,67"
Copa America,111,"24,3",Colombia,"0,3","48,8%","76,3%",8,2015,12,"6,74"
FIFA World Cup,40,"14,3",Japan,"0,7","57,9%","84,2%","6,7",2014,13,"6,70"
