team,matches_played,ratio_wins,ratio_losses,ratio_draws,avg_goals_for,avg_goals_against
Alemania,33,0.7575757575757576,0.12121212121212122,0.12121212121212122,2.6363636363636362,0.696969696969697
Arabia Saudí,28,0.5357142857142857,0.2857142857142857,0.17857142857142858,2.0357142857142856,1.1071428571428572
Argentina,26,0.5,0.23076923076923078,0.2692307692307692,1.5384615384615385,0.9230769230769231
Australia,33,0.5757575757575758,0.15151515151515152,0.2727272727272727,2.121212121212121,0.9090909090909091
Brasil,23,0.6521739130434783,0.08695652173913043,0.2608695652173913,2.260869565217391,0.5652173913043478
Bélgica,26,0.7692307692307693,0.11538461538461539,0.11538461538461539,3.076923076923077,0.6153846153846154
Colombia,26,0.46153846153846156,0.2692307692307692,0.2692307692307692,1.1923076923076923,1.0384615384615385
Costa Rica,31,0.4838709677419355,0.1935483870967742,0.3225806451612903,1.2580645161290323,0.7419354838709677
Croacia,28,0.5714285714285714,0.17857142857142858,0.25,1.6071428571428572,0.5714285714285714
Dinamarca,26,0.4230769230769231,0.2692307692307692,0.3076923076923077,1.5,0.8461538461538461
Egipto,19,0.47368421052631576,0.3684210526315789,0.15789473684210525,1.0526315789473684,0.8421052631578947
España,26,0.8076923076923077,0.11538461538461539,0.07692307692307693,2.730769230769231,0.46153846153846156
Francia,19,0.6842105263157895,0.15789473684210525,0.15789473684210525,1.894736842105263,0.7894736842105263
Inglaterra,26,0.7692307692307693,0.038461538461538464,0.19230769230769232,2.1153846153846154,0.4230769230769231
Islandia,29,0.5862068965517241,0.2413793103448276,0.1724137931034483,1.793103448275862,1.0
Japón,27,0.6666666666666666,0.18518518518518517,0.14814814814814814,2.1481481481481484,0.5925925925925926
Marruecos,23,0.6086956521739131,0.17391304347826086,0.21739130434782608,1.7826086956521738,0.43478260869565216
México,34,0.6176470588235294,0.17647058823529413,0.20588235294117646,1.6470588235294117,0.9411764705882353
Nigeria,19,0.5789473684210527,0.21052631578947367,0.21052631578947367,1.263157894736842,0.7894736842105263
Panamá,31,0.41935483870967744,0.3548387096774194,0.22580645161290322,1.0,1.1935483870967742
Perú,26,0.46153846153846156,0.2692307692307692,0.2692307692307692,1.4615384615384615,1.1153846153846154
Polonia,27,0.6666666666666666,0.14814814814814814,0.18518518518518517,2.5185185185185186,1.0740740740740742
Portugal,32,0.75,0.125,0.125,1.96875,0.65625
RI de Irán,25,0.68,0.08,0.24,1.96,0.4
República de Corea,32,0.65625,0.1875,0.15625,1.875,0.6875
Rusia,18,0.3888888888888889,0.4444444444444444,0.16666666666666666,1.5,1.1111111111111112
Senegal,19,0.5263157894736842,0.10526315789473684,0.3684210526315789,1.6842105263157894,0.8421052631578947
Serbia,20,0.45,0.35,0.2,1.55,1.25
Suecia,31,0.45161290322580644,0.2903225806451613,0.25806451612903225,1.6129032258064515,0.9032258064516129
Suiza,28,0.7142857142857143,0.17857142857142858,0.10714285714285714,2.0714285714285716,0.6071428571428571
Túnez,15,0.7333333333333333,0.13333333333333333,0.13333333333333333,1.6,0.8666666666666667
Uruguay,23,0.5217391304347826,0.30434782608695654,0.17391304347826086,1.6956521739130435,1.0434782608695652
